pl_name,hostname,pl_rade,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
HD 109286 b,HD 109286,13.20000000,5694.00,1.089000,0.980000,12h33m35.00s,188.3958418,+07d16m51.26s,7.2809064,55.41560000
HD 109271 b,HD 109271,4.31000000,5783.00,1.294595,1.047000,12h33m35.38s,188.3973970,-11d37m17.47s,-11.6215204,55.87160000
HD 109271 c,HD 109271,5.27000000,5783.00,1.294595,1.047000,12h33m35.38s,188.3973970,-11d37m17.47s,-11.6215204,55.87160000
K2-247 b,K2-247,2.12000000,4667.00,0.690000,0.740000,12h35m34.44s,188.8935189,-10d04m09.41s,-10.0692793,258.11300000
K2-247 c,K2-247,2.19000000,4667.00,0.690000,0.740000,12h35m34.44s,188.8935189,-10d04m09.41s,-10.0692793,258.11300000
TOI-1811 b,TOI-1811,11.14172682,4766.00,0.769000,0.817000,12h35m41.37s,188.9223576,+27d12m51.76s,27.2143766,128.23000000
K2-154 b,K2-154,1.99000000,4097.00,0.630000,0.650000,12h36m00.36s,189.0015173,-02d40m10.64s,-2.6696217,129.35600000
K2-154 c,K2-154,2.07000000,4097.00,0.630000,0.650000,12h36m00.36s,189.0015173,-02d40m10.64s,-2.6696217,129.35600000
HD 109749 b,HD 109749,11.10000000,5824.00,1.220000,1.130000,12h37m16.16s,189.3173489,-40d48m43.72s,-40.8121458,63.08210000
EPIC 228836835 b,EPIC 228836835,1.10000000,3782.00,0.320000,0.418179,12h38m17.98s,189.5748998,-05d14m40.65s,-5.2446247,150.12400000
K2-224 b,K2-224,1.56000000,5620.00,0.840000,0.910000,12h38m48.99s,189.7041426,-10d03m38.14s,-10.0605942,275.25500000
K2-224 c,K2-224,2.41000000,5620.00,0.840000,0.910000,12h38m48.99s,189.7041426,-10d03m38.14s,-10.0605942,275.25500000
GJ 480 b,GJ 480,3.69000000,3381.00,0.455815,0.450000,12h38m51.22s,189.7134226,+11d41m42.25s,11.6950708,14.23580000
HD 109833 b,HD 109833,2.88800000,5881.00,1.000000,1.080000,12h39m06.21s,189.7758591,-74d34m26.47s,-74.5740205,79.55610000
HD 109833 c,HD 109833,2.59000000,5881.00,1.000000,1.080000,12h39m06.21s,189.7758591,-74d34m26.47s,-74.5740205,79.55610000
HD 110014 b,HD 110014,12.40000000,4445.00,20.900000,2.170000,12h39m14.69s,189.8111935,-07d59m44.41s,-7.9956702,100.75800000
HD 109988 b,HD 109988,12.10000000,5185.97,0.869694,0.880000,12h39m15.71s,189.8154662,-32d43m34.90s,-32.7263607,42.52790000
HD 110067 b,HD 110067,2.20000000,5266.00,0.788000,0.798000,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,32.15850000
HD 110067 c,HD 110067,2.38800000,5266.00,0.788000,0.798000,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,32.15850000
HD 110067 d,HD 110067,2.85200000,5266.00,0.788000,0.798000,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,32.15850000
HD 110067 e,HD 110067,1.94000000,5266.00,0.788000,0.798000,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,32.15850000
HD 110067 f,HD 110067,2.60100000,5266.00,0.788000,0.798000,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,32.15850000
HD 110067 g,HD 110067,2.60700000,5266.00,0.788000,0.798000,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,32.15850000
K2-255 b,K2-255,2.90000000,4676.00,0.690000,0.710000,12h39m39.08s,189.9128532,-03d22m14.03s,-3.3705631,191.60800000
HD 110113 b,HD 110113,2.05000000,5732.00,0.968000,0.997000,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.30700000
HD 110113 c,HD 110113,2.11384817,5732.00,0.968000,0.997000,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.30700000
WASP-83 b,WASP-83,11.65736000,5510.00,1.050000,1.110000,12h40m36.47s,190.1519558,-19d17m03.67s,-19.2843527,271.10300000
WASP-41 b,WASP-41,12.32990000,5545.00,0.830000,0.810000,12h42m28.51s,190.6188034,-30d38m23.34s,-30.6398176,163.37100000
WASP-41 c,WASP-41,13.10000000,5545.00,0.870000,0.930000,12h42m28.51s,190.6188034,-30d38m23.34s,-30.6398176,163.37100000
K2-251 b,K2-251,2.35000000,3717.00,0.490000,0.520000,12h42m45.42s,190.6892403,-08d32m09.54s,-8.5359826,147.03000000
HD 110537 b,HD 110537,11.90000000,5718.00,1.166260,1.020000,12h42m59.10s,190.7462412,-04d03m00.38s,-4.0501059,45.08580000
BD+60 1417 b,BD+60 1417,14.68376472,4993.00,0.797000,1.000000,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.95430000
K2-227 b,K2-227,1.66551298,5673.00,0.890666,0.950811,12h43m47.62s,190.9484237,-08d28m42.30s,-8.4784159,187.23400000
K2-230 b,K2-230,1.96000000,5945.00,1.390000,1.110000,12h45m27.15s,191.3631170,-06d34m33.78s,-6.5760510,540.77300000
HATS-31 b,HATS-31,18.38276000,6050.00,1.870000,1.275000,12h46m48.68s,191.7028214,-24d25m38.60s,-24.4273897,773.97400000
GJ 486 b,GJ 486,1.28900000,3317.00,0.324300,0.312000,12h47m55.57s,191.9815310,+09d44m57.91s,9.7494181,8.07426000
TOI-756 b,TOI-756,2.81000000,3657.00,0.505000,0.505000,12h48m24.90s,192.1037380,-45d28m13.70s,-45.4704709,86.17590000
TOI-756 c,TOI-756,13.00000000,3657.00,0.505000,0.505000,12h48m24.90s,192.1037380,-45d28m13.70s,-45.4704709,86.17590000
TOI-1136 b,TOI-1136,1.90000000,5770.00,0.968000,1.022000,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.53620000
TOI-1136 c,TOI-1136,2.87900000,5770.00,0.968000,1.022000,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.53620000
TOI-1136 d,TOI-1136,4.62700000,5770.00,0.968000,1.022000,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.53620000
TOI-1136 e,TOI-1136,2.63900000,5770.00,0.968000,1.022000,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.53620000
TOI-1136 f,TOI-1136,3.73591482,5770.00,0.968000,1.022000,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.53620000
TOI-1136 g,TOI-1136,2.53000000,5770.00,0.968000,1.022000,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.53620000
HATS-17 b,HATS-17,8.70939300,5846.00,1.091000,1.131000,12h48m45.50s,192.1895676,-47d36m49.24s,-47.6136789,400.33100000
HD 111232 b,HD 111232,12.60000000,5512.00,0.900000,0.960000,12h48m51.83s,192.2159553,-68d25m28.80s,-68.4246679,28.95710000
HD 111232 c,HD 111232,12.20000000,5512.00,0.900000,0.960000,12h48m51.83s,192.2159553,-68d25m28.80s,-68.4246679,28.95710000
TOI-4961 b,TOI-4961,12.34108775,5380.00,0.912000,0.912000,12h50m00.45s,192.5018624,-59d53m30.96s,-59.8919345,213.07300000
HD 111591 b,HD 111591,12.90000000,4884.00,8.030000,1.940000,12h50m17.41s,192.5725483,+22d51m47.26s,22.8631285,114.16600000
HD 110082 b,HD 110082,3.20000000,6200.00,1.190000,1.210000,12h50m21.43s,192.5892855,-88d07m16.00s,-88.1211107,105.09600000
WASP-42 b,WASP-42,12.57649800,5315.00,0.892000,0.951000,12h51m55.49s,192.9812030,-42d04m25.02s,-42.0736165,177.29100000
HD 111998 b,HD 111998,12.90000000,6557.00,1.450000,1.400000,12h53m10.88s,193.2953521,-03d33m11.21s,-3.5531133,33.22370000
TOI-1135 b,TOI-1135,9.34085000,5962.70,1.150000,1.156039,12h53m35.13s,193.3963704,+85d07m46.18s,85.1294952,114.04800000
HATS-27 b,HATS-27,16.81350000,6438.00,1.740000,1.415000,12h54m12.59s,193.5524603,-46d35m15.78s,-46.5877159,816.98800000
HD 112300 b,HD 112300,12.20000000,3657.00,65.800000,1.400000,12h55m35.72s,193.8988441,+03d23m50.06s,3.3972376,62.07324000
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,13.67495645,2620.00,,0.070000,12h56m02.15s,194.0089640,-12d57m21.71s,-12.9560310,12.70000000
HD 112640 b,HD 112640,12.90000000,4155.00,39.000000,1.800000,12h56m57.96s,194.2415171,+67d14m34.48s,67.2429122,323.33500000
HD 112570 b,HD 112570,13.10000000,4750.00,9.850000,1.150000,12h57m07.78s,194.2824262,+46d10m35.63s,46.1765638,101.16600000
HIP 63242 b,HIP 63242,12.50000000,4830.00,10.275655,1.540000,12h57m31.80s,194.3824825,-65d38m46.77s,-65.6463263,156.45600000
TOI-763 b,TOI-763,2.28000000,5450.00,0.897000,0.917000,12h57m52.34s,194.4680980,-39d45m29.02s,-39.7580613,95.12740000
TOI-763 c,TOI-763,2.63000000,5450.00,0.897000,0.917000,12h57m52.34s,194.4680980,-39d45m29.02s,-39.7580613,95.12740000
TOI-2257 b,TOI-2257,2.19400000,3430.00,0.313000,0.328000,12h58m57.51s,194.7396141,+77d39m42.18s,77.6617157,57.79110000
PSR B1257+12 b,PSR B1257+12,0.33800000,,,1.400000,13h00m03.58s,195.0149029,+12d40m56.5s,12.6823534,600.00000000
PSR B1257+12 c,PSR B1257+12,1.91000000,,,1.400000,13h00m03.58s,195.0149029,+12d40m56.5s,12.6823534,600.00000000
PSR B1257+12 d,PSR B1257+12,1.80000000,,,1.400000,13h00m03.58s,195.0149029,+12d40m56.5s,12.6823534,600.00000000
Ross 458 c,Ross 458,14.01125000,3965.42,0.562566,0.556419,13h00m45.89s,195.1912147,+12d22m32.16s,12.3755996,11.50940000
WASP-25 b,WASP-25,13.80946422,5697.00,0.884000,0.962000,13h01m26.34s,195.3597581,-27d31m20.02s,-27.5222273,211.41600000
HD 113337 b,HD 113337,13.10000000,6774.00,1.500000,1.410000,13h01m46.52s,195.4438496,+63d36m37.18s,63.6103280,36.18000000
HD 113337 c,HD 113337,12.10000000,6774.00,1.500000,1.410000,13h01m46.52s,195.4438496,+63d36m37.18s,63.6103280,36.18000000
WASP-174 b,WASP-174,16.10730527,6399.00,1.347000,1.240000,13h03m10.56s,195.7940145,-41d23m05.50s,-41.3848617,410.14900000
TOI-3082 b,TOI-3082,3.66210000,4263.00,0.684700,0.664000,13h03m37.94s,195.9080719,-19d13m08.34s,-19.2189845,113.04800000
KELT-6 b,KELT-6,14.57170000,6102.00,1.730000,1.420000,13h03m55.64s,195.9818362,+30d38m24.52s,30.6401450,240.72600000
KELT-6 c,KELT-6,13.00000000,6272.00,1.529000,1.126000,13h03m55.64s,195.9818362,+30d38m24.52s,30.6401450,240.72600000
WASP-167 b,WASP-167,17.71022000,7000.00,1.790000,1.590000,13h04m10.51s,196.0437932,-35d32m58.31s,-35.5495292,423.55200000
TOI-1823 b,TOI-1823,7.54062410,4927.00,0.804900,0.841400,13h04m52.73s,196.2197201,+63d45m11.74s,63.7532610,71.64560000
HD 113538 b,HD 113538,13.20000000,4462.00,0.530000,0.585000,13h04m56.14s,196.2339330,-52d26m46.86s,-52.4463502,16.28170000
HD 113538 c,HD 113538,13.80000000,4462.00,0.530000,0.585000,13h04m56.14s,196.2339330,-52d26m46.86s,-52.4463502,16.28170000
HD 113996 b,HD 113996,12.70000000,4181.00,25.110000,1.490000,13h07m10.77s,196.7948740,+27d37m27.98s,27.6244384,116.33400000
HD 114082 b,HD 114082,11.20898070,6651.00,1.490000,1.470000,13h09m16.11s,197.3171237,-60d18m30.36s,-60.3084347,95.39060000
HD 114386 b,HD 114386,13.70000000,4836.00,0.760000,0.600000,13h10m39.65s,197.6652124,-35d03m22.25s,-35.0561807,27.92430000
TOI-1173 b,TOI-1173,9.19000000,5350.00,0.934000,0.911000,13h10m43.94s,197.6830975,+70d46m04.84s,70.7680117,132.35300000
TOI-1824 b,TOI-1824,2.74382690,5165.00,0.812300,0.880100,13h10m55.49s,197.7312286,+61d44m41.46s,61.7448492,59.43140000
TOI-1266 b,TOI-1266,2.52000000,3563.00,0.423200,0.437000,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.01180000
TOI-1266 c,TOI-1266,1.98000000,3563.00,0.423200,0.437000,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.01180000
TOI-1266 d,TOI-1266,1.74000000,3563.00,0.423200,0.437000,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.01180000
HD 114783 b,HD 114783,13.70000000,5135.00,0.840622,0.853000,13h12m43.64s,198.1818436,-02d15m53.97s,-2.2649921,21.06280000
HD 114783 c,HD 114783,13.40000000,5135.00,0.840622,0.900000,13h12m43.64s,198.1818436,-02d15m53.97s,-2.2649921,21.06280000
HD 114729 b,HD 114729,13.90000000,5844.00,1.473000,0.936000,13h12m44.02s,198.1833997,-31d52m28.83s,-31.8746756,37.80630000
TOI-1268 b,TOI-1268,9.10000000,5300.00,0.920000,0.960000,13h13m33.26s,198.3885831,+62d18m19.37s,62.3053799,109.55700000
K2-198 b,K2-198,4.18900000,5212.90,0.757000,0.799000,13h15m22.48s,198.8436817,-06d27m53.96s,-6.4649888,110.56700000
K2-198 c,K2-198,1.42300000,5212.90,0.757000,0.799000,13h15m22.48s,198.8436817,-06d27m53.96s,-6.4649888,110.56700000
K2-198 d,K2-198,2.43800000,5212.90,0.757000,0.799000,13h15m22.48s,198.8436817,-06d27m53.96s,-6.4649888,110.56700000
K2-349 b,K2-349,1.38000000,4385.00,0.490000,0.540000,13h16m23.92s,199.0996546,-14d26m41.08s,-14.4447454,453.56700000
GJ 504 b,GJ 504,12.10569916,6234.00,1.260000,1.220000,13h16m46.16s,199.1923480,+09d25m29.92s,9.4249781,17.52990000
TOI-1272 b,TOI-1272,4.13204907,5065.00,0.793400,0.877200,13h16m47.09s,199.1962036,+49d51m39.81s,49.8610591,137.57200000
TOI-1272 c,TOI-1272,4.95000000,5065.00,0.793400,0.877200,13h16m47.09s,199.1962036,+49d51m39.81s,49.8610591,137.57200000
HD 115404 A b,HD 115404 A,6.09000000,5019.17,0.727007,0.830000,13h16m51.74s,199.2155793,+17d00m57.74s,17.0160384,10.98160000
HD 115404 A c,HD 115404 A,12.50000000,5019.17,0.727007,0.830000,13h16m51.74s,199.2155793,+17d00m57.74s,17.0160384,10.98160000
TOI-778 b,TOI-778,15.40000000,6643.00,1.710000,1.400000,13h17m20.12s,199.3338503,-15d16m25.34s,-15.2737046,161.74300000
WASP-172 b,WASP-172,17.59813000,6900.00,1.910000,1.490000,13h17m44.10s,199.4337420,-47d14m15.27s,-47.2375748,538.11000000
61 Vir b,61 Vir,2.11000000,5577.00,0.963000,0.942000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.50332000
61 Vir c,61 Vir,4.46000000,5577.00,0.963000,0.942000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.50332000
61 Vir d,61 Vir,5.11000000,5577.00,0.963000,0.942000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.50332000
HATS-37 A b,HATS-37 A,6.79265400,5326.00,0.877000,0.843000,13h19m12.44s,199.8018300,-22d59m12.64s,-22.9868431,211.89600000
K2-195 b,K2-195,3.13000000,5713.00,0.990000,0.940000,13h19m19.56s,199.8315191,-08d30m34.33s,-8.5095364,315.01400000
K2-195 c,K2-195,2.57581891,5712.00,0.906367,0.963364,13h19m19.56s,199.8315191,-08d30m34.33s,-8.5095364,315.01400000
HD 115954 b,HD 115954,12.60000000,5957.00,1.213000,1.180000,13h19m56.49s,199.9853694,+38d22m08.90s,38.3691383,87.64370000
HD 116029 b,HD 116029,13.60000000,4819.00,4.890000,0.830000,13h20m39.53s,200.1646905,+24d38m54.50s,24.6484725,123.24500000
HD 116029 c,HD 116029,13.70000000,4951.00,4.600000,1.330000,13h20m39.53s,200.1646905,+24d38m54.50s,24.6484725,123.24500000
GJ 508.2 b,GJ 508.2,,3720.00,0.530000,0.540000,13h20m58.65s,200.2443854,+34d16m39.59s,34.2776644,16.63740000
K2-196 b,K2-196,3.59970536,6045.00,1.538801,1.162095,13h21m49.50s,200.4562487,-08d28m18.16s,-8.4717104,584.87700000
TOI-1249 b,TOI-1249,3.27103010,5497.00,0.978500,1.006200,13h22m14.78s,200.5615762,+66d18m30.72s,66.3085331,139.49000000
HATS-54 b,HATS-54,11.37711541,5621.00,1.230000,1.050000,13h22m32.37s,200.6348641,-44d41m19.82s,-44.6888393,748.58500000
GJ 3779 b,GJ 3779,2.75000000,3324.00,0.281000,0.270000,13h22m56.05s,200.7335358,+24d27m50.19s,24.4639425,13.74300000
HIP 65407 b,HIP 65407,14.30000000,5460.00,0.952252,0.930000,13h24m21.04s,201.0876630,+48d53m05.04s,48.8847322,61.78040000
HIP 65407 c,HIP 65407,13.90000000,5460.00,0.952252,0.930000,13h24m21.04s,201.0876630,+48d53m05.04s,48.8847322,61.78040000
HIP 65426 b,HIP 65426,16.81350000,8840.00,1.770000,1.960000,13h24m36.04s,201.1501727,-51d30m16.34s,-51.5045384,108.87500000
TOI-1807 b,TOI-1807,1.49681583,4914.00,0.746000,0.804800,13h25m07.83s,201.2826259,+38d55m20.52s,38.9223671,42.57750000
TYC 8998-760-1 b,TYC 8998-760-1,12.30000000,4573.00,0.953811,1.000000,13h25m12.03s,201.3001096,-64d56m20.96s,-64.9391566,94.61770000
TYC 8998-760-1 c,TYC 8998-760-1,12.32990000,4573.00,0.953811,1.000000,13h25m12.03s,201.3001096,-64d56m20.96s,-64.9391566,94.61770000
TOI-3894 b,TOI-3894,15.27784069,6000.00,1.502000,1.138000,13h25m29.96s,201.3748265,+52d46m05.17s,52.7681036,417.36500000
TOI-1238 b,TOI-1238,1.21000000,4089.00,0.580000,0.590000,13h25m31.76s,201.3823387,+68d50m09.84s,68.8360678,70.71450000
TOI-1238 c,TOI-1238,2.11000000,4089.00,0.580000,0.590000,13h25m31.76s,201.3823387,+68d50m09.84s,68.8360678,70.71450000
K2-353 b,K2-353,5.55000000,5698.00,0.990000,0.870000,13h26m28.05s,201.6168564,-02d16m54.85s,-2.2819018,268.51500000
K2-191 b,K2-191,1.57889322,5176.00,0.839696,0.900994,13h26m33.39s,201.6391407,-12d48m24.03s,-12.8066737,287.18800000
WASP-157 b,WASP-157,11.19000000,5772.00,1.100000,1.060000,13h26m37.24s,201.6551525,-08d19m03.49s,-8.3176353,334.03700000
DE CVn b,DE CVn,12.40000000,3579.00,0.424754,0.510000,13h26m52.97s,201.7207198,+45d32m43.96s,45.5455449,30.52250000
TOI-1842 b,TOI-1842,12.34850230,6039.00,2.032000,1.464300,13h27m51.04s,201.9626552,+09d01m50.32s,9.0306437,223.46500000
K2-277 b,K2-277,2.18575124,5680.00,0.973000,0.974000,13h28m03.89s,202.0161895,-15d56m16.71s,-15.9379749,113.12300000
70 Vir b,70 Vir,12.60000000,5495.00,1.890000,1.090000,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.90110000
K2-200 b,K2-200,1.36439870,5233.00,0.791736,0.860208,13h29m00.29s,202.2512060,-04d36m36.19s,-4.6100532,184.13100000
EPIC 212424622 b,EPIC 212424622,2.17000000,5782.33,1.224700,1.106000,13h29m19.53s,202.3313765,-14d21m33.97s,-14.3594358,611.80400000
HD 117207 b,HD 117207,13.40000000,5732.00,1.074000,1.053000,13h29m20.85s,202.3368806,-35d34m16.69s,-35.5713041,32.35470000
K2-197 b,K2-197,2.56000000,5667.00,0.930000,1.000000,13h29m34.43s,202.3934779,-07d22m26.32s,-7.3739779,247.63700000
EPIC 212499991 b,EPIC 212499991,1.60000000,4982.79,0.757541,0.912000,13h29m57.30s,202.4887520,-12d44m05.19s,-12.7347749,283.29000000
GJ 514 b,GJ 514,2.13000000,3728.00,0.500000,0.510000,13h30m00.97s,202.5040424,+10d22m21.14s,10.3725387,7.61778000
HIP 65891 b,HIP 65891,12.80000000,5000.00,8.930000,2.490000,13h30m25.22s,202.6050857,-58d39m51.82s,-58.6643937,150.29200000
K2-377 b,K2-377,1.69300000,4200.00,0.691000,0.821000,13h31m35.49s,202.8978870,-12d05m42.41s,-12.0951142,195.14900000
WASP-130 b,WASP-130,9.97601000,5625.00,0.960000,1.040000,13h32m25.44s,203.1060194,-42d28m30.98s,-42.4752733,172.25600000
HD 117618 b,HD 117618,8.59000000,5990.00,1.200000,1.077000,13h32m25.59s,203.1066418,-47d16m18.86s,-47.2719049,37.77810000
HIP 66074 b,HIP 66074,12.90000000,4300.00,0.690000,0.705000,13h32m39.26s,203.1635632,+75d00m25.57s,75.0071038,35.44380000
K2-278 b,K2-278,2.98000000,6747.00,1.610000,1.400000,13h33m12.45s,203.3018653,-14d30m14.78s,-14.5041057,786.43900000
TOI-1794 b,TOI-1794,3.29701268,5631.00,1.316200,0.969800,13h33m35.40s,203.3974857,+49d03m39.04s,49.0608433,155.79100000
HD 118203 b,HD 118203,12.77823800,5742.00,2.040000,1.270000,13h34m02.39s,203.5099560,+53d43m41.48s,53.7281876,92.25890000
HD 118203 c,HD 118203,12.40000000,5742.00,2.040000,1.270000,13h34m02.39s,203.5099560,+53d43m41.48s,53.7281876,92.25890000
K2-126 b,K2-126,1.97000000,4339.00,0.650000,0.690000,13h34m11.21s,203.5467021,-13d34m37.09s,-13.5769705,102.95300000
POTS-1 b,POTS-1,10.54800000,4400.00,0.588000,0.695000,13h34m26.09s,203.6087259,-66d34m52.19s,-66.5811639,747.95900000
K2-189 b,K2-189,1.40300000,5442.00,0.879000,0.850000,13h34m29.15s,203.6214411,-15d02m11.46s,-15.0365158,242.11300000
K2-189 c,K2-189,2.31000000,5442.00,0.879000,0.850000,13h34m29.15s,203.6214411,-15d02m11.46s,-15.0365158,242.11300000
WASP-55 b,WASP-55,14.72860064,6096.00,1.090000,1.071000,13h35m01.97s,203.7581951,-17d30m12.59s,-17.5034961,297.46200000
K2-350 b,K2-350,1.54000000,5789.00,1.040000,0.980000,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.36800000
K2-350 c,K2-350,2.74000000,5789.00,1.040000,0.980000,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.36800000
K2-125 b,K2-125,2.18000000,3654.47,0.402049,0.494727,13h36m34.05s,204.1418754,-14d56m52.15s,-14.9478195,124.15600000
EPIC 212737443 b,EPIC 212737443,2.58600000,4684.00,0.673000,0.690000,13h36m53.16s,204.2215065,-07d19m05.01s,-7.3180577,336.25000000
EPIC 212737443 c,EPIC 212737443,2.69000000,4684.00,0.673000,0.690000,13h36m53.16s,204.2215065,-07d19m05.01s,-7.3180577,336.25000000
K2-128 b,K2-128,1.42000000,4469.51,0.777569,0.711248,13h37m45.04s,204.4376666,-08d35m49.51s,-8.5970858,114.63700000
TOI-4914 b,TOI-4914,12.87000000,5805.00,1.000000,1.030000,13h38m10.24s,204.5426717,-28d08m34.51s,-28.1429206,299.89000000
K2-194 b,K2-194,3.64229858,5979.00,1.281115,1.110086,13h38m26.15s,204.6089755,-08d55m37.78s,-8.9271609,629.51000000
NY Vir b,NY Vir,13.30000000,32780.00,0.151000,0.459000,13h38m48.14s,204.7005847,-02d01m49.39s,-2.0303873,544.02400000
NY Vir c,NY Vir,12.80000000,32780.00,0.151000,0.459000,13h38m48.14s,204.7005847,-02d01m49.39s,-2.0303873,544.02400000
K2-279 b,K2-279,1.21000000,5558.00,0.860000,0.790000,13h39m07.03s,204.7792935,-06d02m30.33s,-6.0417592,182.98300000
K2-378 b,K2-378,2.88000000,4823.00,0.732000,0.923000,13h40m38.32s,205.1596569,-11d07m02.04s,-11.1172332,687.97300000
TOI-2485 b,TOI-2485,12.13932610,6016.40,1.720000,1.163000,13h40m49.04s,205.2043217,+22d59m02.29s,22.9839692,397.95300000
K2-193 b,K2-193,3.95000000,5817.00,0.980000,1.010000,13h40m56.91s,205.2371043,-11d00m33.60s,-11.0093342,411.92300000
TOI-1855 b,TOI-1855,18.49481816,5359.00,1.041000,0.987000,13h41m24.95s,205.3539534,+17d41m12.74s,17.6868719,176.83300000
K2-190 b,K2-190,1.35673729,5631.00,0.912206,0.904597,13h41m27.13s,205.3630485,-13d09m39.13s,-13.1608686,160.67900000
K2-190 c,K2-190,1.09308317,5631.00,0.912206,0.904597,13h41m27.13s,205.3630485,-13d09m39.13s,-13.1608686,160.67900000
K2-292 b,K2-292,2.63000000,5725.00,1.090000,1.000000,13h41m30.21s,205.3758786,-09d56m45.85s,-9.9460704,114.29300000
EPIC 212587672 b,EPIC 212587672,1.26000000,6004.00,0.980000,0.990000,13h41m46.68s,205.4445125,-10d51m45.17s,-10.8625468,320.07000000
EPIC 212587672 c,EPIC 212587672,2.32000000,6004.00,0.980000,0.990000,13h41m46.68s,205.4445125,-10d51m45.17s,-10.8625468,320.07000000
WASP-54 b,WASP-54,17.71022000,6100.00,1.760000,1.080000,13h41m49.02s,205.4542456,-00d07m41.42s,-0.1281712,251.30300000
HD 120084 b,HD 120084,12.70000000,4879.00,10.370000,2.160000,13h42m38.88s,205.6619890,+78d03m52.70s,78.0646376,103.04400000
TOI-3493 b,TOI-3493,3.22000000,5844.00,1.228000,1.023000,13h43m11.77s,205.7990331,-22d35m07.60s,-22.5854441,96.72240000
NGTS-27 b,NGTS-27,15.64773706,5700.00,1.770000,1.070000,13h44m06.37s,206.0265266,-32d31m22.71s,-32.5229747,942.12200000
HAT-P-3 b,HAT-P-3,10.53646000,5185.00,0.870000,1.060000,13h44m22.56s,206.0940142,+48d01m42.83s,48.0285650,134.55400000
TOI-4336 A b,TOI-4336 A,2.12000000,3298.00,0.328000,0.331000,13h44m25.68s,206.1070129,-40d20m14.46s,-40.3373505,22.54550000
K2-192 b,K2-192,1.52000000,5222.00,0.810000,0.900000,13h46m19.75s,206.5823122,-11d33m22.87s,-11.5563527,221.75300000
K2-351 b,K2-351,2.54000000,5769.00,1.050000,1.020000,13h46m36.54s,206.6522408,-11d48m17.85s,-11.8049588,694.73400000
HR 5183 b,HR 5183,13.10000000,5794.00,1.530000,1.070000,13h46m56.59s,206.7357992,+06d20m59.64s,6.3498994,31.46070000
tau Boo b,tau Boo,12.80000000,6466.27,1.425880,1.320000,13h47m15.23s,206.8134593,+17d27m25.79s,17.4571647,15.65210000
Wolf 503 b,Wolf 503,2.04300000,4716.00,0.689000,0.688000,13h47m23.09s,206.8461979,-06d08m21.61s,-6.1393369,44.52600000
K2-127 b,K2-127,8.37000000,4575.00,0.660000,0.720000,13h48m18.79s,207.0782895,-11d35m20.36s,-11.5889878,709.99900000
EPIC 212297394 b,EPIC 212297394,1.48000000,5171.00,0.800000,0.830000,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985,418.39500000
EPIC 212297394 c,EPIC 212297394,2.27000000,5171.00,0.800000,0.830000,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985,418.39500000
K2-110 b,K2-110,2.59200000,5010.00,0.713000,0.738000,13h49m23.94s,207.3497402,-12d17m05.71s,-12.2849182,116.47400000
TOI-3235 b,TOI-3235,11.39953337,3388.80,0.369700,0.393900,13h49m53.72s,207.4738488,-46d03m59.45s,-46.0665139,72.81100000
HIP 67522 b,HIP 67522,9.98720180,5675.00,1.380000,1.220000,13h50m06.24s,207.5260010,-40d50m09.23s,-40.8358961,127.28000000
HIP 67522 c,HIP 67522,7.93595834,5675.00,1.380000,1.220000,13h50m06.24s,207.5260010,-40d50m09.23s,-40.8358961,127.28000000
HIP 67537 b,HIP 67537,12.30000000,4985.00,8.690000,2.316000,13h50m19.40s,207.5808445,-39d54m03.24s,-39.9008996,116.04600000
Qatar-2 b,Qatar-2,14.05600000,4645.00,0.776000,0.743000,13h50m37.32s,207.6554928,-06d48m14.66s,-6.8040714,181.37400000
